"Step","honest-disco-4 - AutoEncoderTopK-0/loss","honest-disco-4 - AutoEncoderTopK-0/loss__MIN","honest-disco-4 - AutoEncoderTopK-0/loss__MAX","honest-disco-4 - AutoEncoderTopK-1/loss","honest-disco-4 - AutoEncoderTopK-1/loss__MIN","honest-disco-4 - AutoEncoderTopK-1/loss__MAX","rural-cloud-3 - AutoEncoderTopK-0/loss","rural-cloud-3 - AutoEncoderTopK-0/loss__MIN","rural-cloud-3 - AutoEncoderTopK-0/loss__MAX","rural-cloud-3 - AutoEncoderTopK-1/loss","rural-cloud-3 - AutoEncoderTopK-1/loss__MIN","rural-cloud-3 - AutoEncoderTopK-1/loss__MAX","wise-sound-2 - AutoEncoderTopK-0/loss","wise-sound-2 - AutoEncoderTopK-0/loss__MIN","wise-sound-2 - AutoEncoderTopK-0/loss__MAX","wise-sound-2 - AutoEncoderTopK-1/loss","wise-sound-2 - AutoEncoderTopK-1/loss__MIN","wise-sound-2 - AutoEncoderTopK-1/loss__MAX","frosty-resonance-1 - AutoEncoderTopK-0/loss","frosty-resonance-1 - AutoEncoderTopK-0/loss__MIN","frosty-resonance-1 - AutoEncoderTopK-0/loss__MAX","frosty-resonance-1 - AutoEncoderTopK-1/loss","frosty-resonance-1 - AutoEncoderTopK-1/loss__MIN","frosty-resonance-1 - AutoEncoderTopK-1/loss__MAX"
"0","51735.8203125","51735.8203125","51735.8203125","51925.2109375","51925.2109375","51925.2109375","61437.6171875","61437.6171875","61437.6171875","55555.86328125","55555.86328125","55555.86328125","70314.515625","70314.515625","70314.515625","65442.1875","65442.1875","65442.1875","79752.796875","79752.796875","79752.796875","76304.40625","76304.40625","76304.40625"
"1000","1159.6953125","1159.6953125","1159.6953125","1004.1732177734375","1004.1732177734375","1004.1732177734375","1426.6142578125","1426.6142578125","1426.6142578125","1276.7034912109375","1276.7034912109375","1276.7034912109375","1691.810791015625","1691.810791015625","1691.810791015625","1527.337158203125","1527.337158203125","1527.337158203125","3965.514892578125","3965.514892578125","3965.514892578125","2109.65771484375","2109.65771484375","2109.65771484375"
"2000","1077.91455078125","1077.91455078125","1077.91455078125","837.0673828125","837.0673828125","837.0673828125","1351.502197265625","1351.502197265625","1351.502197265625","1199.501953125","1199.501953125","1199.501953125","1621.176513671875","1621.176513671875","1621.176513671875","1458.333251953125","1458.333251953125","1458.333251953125","2521.18310546875","2521.18310546875","2521.18310546875","2015.8511962890625","2015.8511962890625","2015.8511962890625"
"3000","976.840087890625","976.840087890625","976.840087890625","754.7840576171875","754.7840576171875","754.7840576171875","1227.165771484375","1227.165771484375","1227.165771484375","1076.5738525390625","1076.5738525390625","1076.5738525390625","1480.5745849609375","1480.5745849609375","1480.5745849609375","1330.87548828125","1330.87548828125","1330.87548828125","2460.392578125","2460.392578125","2460.392578125","1882.3739013671875","1882.3739013671875","1882.3739013671875"
"4000","899.32763671875","899.32763671875","899.32763671875","704.2376708984375","704.2376708984375","704.2376708984375","1132.340576171875","1132.340576171875","1132.340576171875","986.646728515625","986.646728515625","986.646728515625","1375.5157470703125","1375.5157470703125","1375.5157470703125","1229.02978515625","1229.02978515625","1229.02978515625","2504.45947265625","2504.45947265625","2504.45947265625","1784.8345947265625","1784.8345947265625","1784.8345947265625"
"5000","837.3106689453125","837.3106689453125","837.3106689453125","670.326904296875","670.326904296875","670.326904296875","1059.464599609375","1059.464599609375","1059.464599609375","923.6759033203125","923.6759033203125","923.6759033203125","1304.077392578125","1304.077392578125","1304.077392578125","1154.9315185546875","1154.9315185546875","1154.9315185546875","2401.45166015625","2401.45166015625","2401.45166015625","1713.0419921875","1713.0419921875","1713.0419921875"
"6000","813.2754516601562","813.2754516601562","813.2754516601562","656.437255859375","656.437255859375","656.437255859375","1033.922607421875","1033.922607421875","1033.922607421875","900.6294555664062","900.6294555664062","900.6294555664062","1284.5322265625","1284.5322265625","1284.5322265625","1130.49755859375","1130.49755859375","1130.49755859375","2387.78662109375","2387.78662109375","2387.78662109375","1703.793212890625","1703.793212890625","1703.793212890625"
"7000","789.5223388671875","789.5223388671875","789.5223388671875","639.559326171875","639.559326171875","639.559326171875","1009.0646362304688","1009.0646362304688","1009.0646362304688","878.78857421875","878.78857421875","878.78857421875","1262.4833984375","1262.4833984375","1262.4833984375","1106.0740966796875","1106.0740966796875","1106.0740966796875","2359.3125","2359.3125","2359.3125","1678.1827392578125","1678.1827392578125","1678.1827392578125"
"8000","777.4321899414062","777.4321899414062","777.4321899414062","630.2506103515625","630.2506103515625","630.2506103515625","998.8519287109375","998.8519287109375","998.8519287109375","868.1121826171875","868.1121826171875","868.1121826171875","1252.4537353515625","1252.4537353515625","1252.4537353515625","1096.816162109375","1096.816162109375","1096.816162109375","2353.5615234375","2353.5615234375","2353.5615234375","1677.322509765625","1677.322509765625","1677.322509765625"
"9000","754.9000244140625","754.9000244140625","754.9000244140625","613.123291015625","613.123291015625","613.123291015625","972.8636474609375","972.8636474609375","972.8636474609375","843.37060546875","843.37060546875","843.37060546875","1222.4520263671875","1222.4520263671875","1222.4520263671875","1068.2994384765625","1068.2994384765625","1068.2994384765625","2298.008056640625","2298.008056640625","2298.008056640625","1637.8515625","1637.8515625","1637.8515625"
"10000","754.5137939453125","754.5137939453125","754.5137939453125","613.9566650390625","613.9566650390625","613.9566650390625","972.7898559570312","972.7898559570312","972.7898559570312","844.3071899414062","844.3071899414062","844.3071899414062","1229.263427734375","1229.263427734375","1229.263427734375","1071.468994140625","1071.468994140625","1071.468994140625","2325.364990234375","2325.364990234375","2325.364990234375","1650.793212890625","1650.793212890625","1650.793212890625"
"11000","742.930419921875","742.930419921875","742.930419921875","603.7518310546875","603.7518310546875","603.7518310546875","961.2099609375","961.2099609375","961.2099609375","833.1026611328125","833.1026611328125","833.1026611328125","1216.1817626953125","1216.1817626953125","1216.1817626953125","1060.64111328125","1060.64111328125","1060.64111328125","2299.470703125","2299.470703125","2299.470703125","1629.9019775390625","1629.9019775390625","1629.9019775390625"
"12000","742.0961303710938","742.0961303710938","742.0961303710938","602.4540405273438","602.4540405273438","602.4540405273438","962.054443359375","962.054443359375","962.054443359375","832.6024169921875","832.6024169921875","832.6024169921875","1218.1611328125","1218.1611328125","1218.1611328125","1060.836181640625","1060.836181640625","1060.836181640625","2319.80224609375","2319.80224609375","2319.80224609375","1640.438232421875","1640.438232421875","1640.438232421875"
"13000","734.8450317382812","734.8450317382812","734.8450317382812","595.115478515625","595.115478515625","595.115478515625","953.5903930664062","953.5903930664062","953.5903930664062","825.4729614257812","825.4729614257812","825.4729614257812","1210.8358154296875","1210.8358154296875","1210.8358154296875","1054.118408203125","1054.118408203125","1054.118408203125","2301.9814453125","2301.9814453125","2301.9814453125","1629.8306884765625","1629.8306884765625","1629.8306884765625"
"14000","731.46142578125","731.46142578125","731.46142578125","591.915771484375","591.915771484375","591.915771484375","949.727783203125","949.727783203125","949.727783203125","822.2389526367188","822.2389526367188","822.2389526367188","1208.9390869140625","1208.9390869140625","1208.9390869140625","1050.27978515625","1050.27978515625","1050.27978515625","2296.968505859375","2296.968505859375","2296.968505859375","1628.981689453125","1628.981689453125","1628.981689453125"
"15000","721.7359008789062","721.7359008789062","721.7359008789062","583.5999145507812","583.5999145507812","583.5999145507812","943.1383056640625","943.1383056640625","943.1383056640625","813.3834838867188","813.3834838867188","813.3834838867188","1196.8663330078125","1196.8663330078125","1196.8663330078125","1040.74755859375","1040.74755859375","1040.74755859375","2287.193359375","2287.193359375","2287.193359375","1618.788818359375","1618.788818359375","1618.788818359375"
"16000","717.188232421875","717.188232421875","717.188232421875","579.3030395507812","579.3030395507812","579.3030395507812","936.5780029296875","936.5780029296875","936.5780029296875","808.7784423828125","808.7784423828125","808.7784423828125","1192.9537353515625","1192.9537353515625","1192.9537353515625","1036.5843505859375","1036.5843505859375","1036.5843505859375","2272.4775390625","2272.4775390625","2272.4775390625","1610.345703125","1610.345703125","1610.345703125"
"17000","716.1248779296875","716.1248779296875","716.1248779296875","577.2537231445312","577.2537231445312","577.2537231445312","937.2142333984375","937.2142333984375","937.2142333984375","807.7706298828125","807.7706298828125","807.7706298828125","1193.7567138671875","1193.7567138671875","1193.7567138671875","1036.98193359375","1036.98193359375","1036.98193359375","2274.6796875","2274.6796875","2274.6796875","1611.576416015625","1611.576416015625","1611.576416015625"
"18000","718.0731201171875","718.0731201171875","718.0731201171875","579.5387573242188","579.5387573242188","579.5387573242188","941.872314453125","941.872314453125","941.872314453125","810.6021728515625","810.6021728515625","810.6021728515625","1197.75244140625","1197.75244140625","1197.75244140625","1040.8525390625","1040.8525390625","1040.8525390625","2297.614501953125","2297.614501953125","2297.614501953125","1617.88623046875","1617.88623046875","1617.88623046875"
"19000","719.1654663085938","719.1654663085938","719.1654663085938","579.1492309570312","579.1492309570312","579.1492309570312","943.03515625","943.03515625","943.03515625","812.5521240234375","812.5521240234375","812.5521240234375","1201.938232421875","1201.938232421875","1201.938232421875","1042.948486328125","1042.948486328125","1042.948486328125","2298.97998046875","2298.97998046875","2298.97998046875","1624.688720703125","1624.688720703125","1624.688720703125"
"20000","714.1629638671875","714.1629638671875","714.1629638671875","574.600341796875","574.600341796875","574.600341796875","937.4978637695312","937.4978637695312","937.4978637695312","807.2047119140625","807.2047119140625","807.2047119140625","1193.7520751953125","1193.7520751953125","1193.7520751953125","1036.592529296875","1036.592529296875","1036.592529296875","2284.682373046875","2284.682373046875","2284.682373046875","1614.7554931640625","1614.7554931640625","1614.7554931640625"
"21000","708.3109741210938","708.3109741210938","708.3109741210938","570.5267333984375","570.5267333984375","570.5267333984375","930.3862915039062","930.3862915039062","930.3862915039062","800.8677978515625","800.8677978515625","800.8677978515625","1186.4683837890625","1186.4683837890625","1186.4683837890625","1029.736328125","1029.736328125","1029.736328125","2275.24755859375","2275.24755859375","2275.24755859375","1604.1514892578125","1604.1514892578125","1604.1514892578125"
"22000","709.25830078125","709.25830078125","709.25830078125","570.5908203125","570.5908203125","570.5908203125","933.7105712890625","933.7105712890625","933.7105712890625","802.6541748046875","802.6541748046875","802.6541748046875","1191.7088623046875","1191.7088623046875","1191.7088623046875","1033.21875","1033.21875","1033.21875","2282.48388671875","2282.48388671875","2282.48388671875","1612.600341796875","1612.600341796875","1612.600341796875"
"23000","709.1173095703125","709.1173095703125","709.1173095703125","569.8076171875","569.8076171875","569.8076171875","933.5856323242188","933.5856323242188","933.5856323242188","802.3668212890625","802.3668212890625","802.3668212890625","1188.6724853515625","1188.6724853515625","1188.6724853515625","1033.8895263671875","1033.8895263671875","1033.8895263671875","2279.501708984375","2279.501708984375","2279.501708984375","1606.8369140625","1606.8369140625","1606.8369140625"
"24000","702.6902465820312","702.6902465820312","702.6902465820312","564.3707275390625","564.3707275390625","564.3707275390625","924.7674560546875","924.7674560546875","924.7674560546875","796.0946655273438","796.0946655273438","796.0946655273438","1182.6177978515625","1182.6177978515625","1182.6177978515625","1026.84814453125","1026.84814453125","1026.84814453125","2276.2431640625","2276.2431640625","2276.2431640625","1600.547119140625","1600.547119140625","1600.547119140625"
"25000","705.094970703125","705.094970703125","705.094970703125","566.0589599609375","566.0589599609375","566.0589599609375","929.7471313476562","929.7471313476562","929.7471313476562","798.0968017578125","798.0968017578125","798.0968017578125","1187.469970703125","1187.469970703125","1187.469970703125","1030.336181640625","1030.336181640625","1030.336181640625","2279.92236328125","2279.92236328125","2279.92236328125","1609.447509765625","1609.447509765625","1609.447509765625"
"26000","703.4547119140625","703.4547119140625","703.4547119140625","564.3265991210938","564.3265991210938","564.3265991210938","927.3065185546875","927.3065185546875","927.3065185546875","796.0524291992188","796.0524291992188","796.0524291992188","1183.8857421875","1183.8857421875","1183.8857421875","1027.700439453125","1027.700439453125","1027.700439453125","2275.123291015625","2275.123291015625","2275.123291015625","1603.616455078125","1603.616455078125","1603.616455078125"
"27000","697.1820068359375","697.1820068359375","697.1820068359375","558.7972412109375","558.7972412109375","558.7972412109375","923.1986083984375","923.1986083984375","923.1986083984375","790.4487915039062","790.4487915039062","790.4487915039062","1180.9896240234375","1180.9896240234375","1180.9896240234375","1023.4266967773438","1023.4266967773438","1023.4266967773438","2263.666015625","2263.666015625","2263.666015625","1598.942138671875","1598.942138671875","1598.942138671875"
"28000","694.523193359375","694.523193359375","694.523193359375","557.0676879882812","557.0676879882812","557.0676879882812","917.7808227539062","917.7808227539062","917.7808227539062","786.4306640625","786.4306640625","786.4306640625","1172.736328125","1172.736328125","1172.736328125","1016.413330078125","1016.413330078125","1016.413330078125","2264.02587890625","2264.02587890625","2264.02587890625","1589.853271484375","1589.853271484375","1589.853271484375"
"29000","692.5264892578125","692.5264892578125","692.5264892578125","553.5361328125","553.5361328125","553.5361328125","914.6036376953125","914.6036376953125","914.6036376953125","784.1466674804688","784.1466674804688","784.1466674804688","1168.937744140625","1168.937744140625","1168.937744140625","1013.1818237304688","1013.1818237304688","1013.1818237304688","2243.77587890625","2243.77587890625","2243.77587890625","1581.32666015625","1581.32666015625","1581.32666015625"
"30000","692.68701171875","692.68701171875","692.68701171875","553.5086059570312","553.5086059570312","553.5086059570312","915.1387939453125","915.1387939453125","915.1387939453125","784.4785766601562","784.4785766601562","784.4785766601562","1170.943115234375","1170.943115234375","1170.943115234375","1014.2528076171875","1014.2528076171875","1014.2528076171875","2254.937744140625","2254.937744140625","2254.937744140625","1585.7921142578125","1585.7921142578125","1585.7921142578125"
"31000","692.22802734375","692.22802734375","692.22802734375","551.4266967773438","551.4266967773438","551.4266967773438","915.4375","915.4375","915.4375","784.8656005859375","784.8656005859375","784.8656005859375","1170.7593994140625","1170.7593994140625","1170.7593994140625","1014.0885620117188","1014.0885620117188","1014.0885620117188","2251.8779296875","2251.8779296875","2251.8779296875","1586.317626953125","1586.317626953125","1586.317626953125"
"32000","686.5701293945312","686.5701293945312","686.5701293945312","548.154296875","548.154296875","548.154296875","907.999755859375","907.999755859375","907.999755859375","778.670166015625","778.670166015625","778.670166015625","1160.23486328125","1160.23486328125","1160.23486328125","1004.8857421875","1004.8857421875","1004.8857421875","2237.97802734375","2237.97802734375","2237.97802734375","1572.3121337890625","1572.3121337890625","1572.3121337890625"
"33000","693.3150634765625","693.3150634765625","693.3150634765625","553.57568359375","553.57568359375","553.57568359375","919.0835571289062","919.0835571289062","919.0835571289062","787.6802368164062","787.6802368164062","787.6802368164062","1173.547607421875","1173.547607421875","1173.547607421875","1018.6089477539062","1018.6089477539062","1018.6089477539062","2260.55517578125","2260.55517578125","2260.55517578125","1585.708251953125","1585.708251953125","1585.708251953125"
"34000","688.0670166015625","688.0670166015625","688.0670166015625","549.0464477539062","549.0464477539062","549.0464477539062","910.383056640625","910.383056640625","910.383056640625","780.050048828125","780.050048828125","780.050048828125","1162.341796875","1162.341796875","1162.341796875","1007.5263671875","1007.5263671875","1007.5263671875","2244.9931640625","2244.9931640625","2244.9931640625","1574.994873046875","1574.994873046875","1574.994873046875"
"35000","692.8929443359375","692.8929443359375","692.8929443359375","552.4907836914062","552.4907836914062","552.4907836914062","917.7796630859375","917.7796630859375","917.7796630859375","786.7074584960938","786.7074584960938","786.7074584960938","1173.87548828125","1173.87548828125","1173.87548828125","1016.7169189453125","1016.7169189453125","1016.7169189453125","2271.335693359375","2271.335693359375","2271.335693359375","1590.7230224609375","1590.7230224609375","1590.7230224609375"
"36000","687.5906982421875","687.5906982421875","687.5906982421875","546.5963745117188","546.5963745117188","546.5963745117188","910.7005615234375","910.7005615234375","910.7005615234375","780.001220703125","780.001220703125","780.001220703125","1165.8529052734375","1165.8529052734375","1165.8529052734375","1008.390869140625","1008.390869140625","1008.390869140625","2251.830810546875","2251.830810546875","2251.830810546875","1580.9249267578125","1580.9249267578125","1580.9249267578125"
"37000","687.8729248046875","687.8729248046875","687.8729248046875","547.582763671875","547.582763671875","547.582763671875","913.595458984375","913.595458984375","913.595458984375","782.3519287109375","782.3519287109375","782.3519287109375","1169.179443359375","1169.179443359375","1169.179443359375","1012.7144775390625","1012.7144775390625","1012.7144775390625","2252.391845703125","2252.391845703125","2252.391845703125","1584.7152099609375","1584.7152099609375","1584.7152099609375"
"38000","686.4375","686.4375","686.4375","545.56103515625","545.56103515625","545.56103515625","911.2603759765625","911.2603759765625","911.2603759765625","779.548583984375","779.548583984375","779.548583984375","1167.322509765625","1167.322509765625","1167.322509765625","1010.2452392578125","1010.2452392578125","1010.2452392578125","2254.696533203125","2254.696533203125","2254.696533203125","1581.9935302734375","1581.9935302734375","1581.9935302734375"
"39000","688.5126953125","688.5126953125","688.5126953125","546.1303100585938","546.1303100585938","546.1303100585938","912.690673828125","912.690673828125","912.690673828125","781.3173828125","781.3173828125","781.3173828125","1166.281494140625","1166.281494140625","1166.281494140625","1010.5496215820312","1010.5496215820312","1010.5496215820312","2244.5830078125","2244.5830078125","2244.5830078125","1579.34716796875","1579.34716796875","1579.34716796875"
"40000","680.7913818359375","680.7913818359375","680.7913818359375","539.6336669921875","539.6336669921875","539.6336669921875","902.4696044921875","902.4696044921875","902.4696044921875","772.4931640625","772.4931640625","772.4931640625","1155.9365234375","1155.9365234375","1155.9365234375","1001.3233642578125","1001.3233642578125","1001.3233642578125","2227.15625","2227.15625","2227.15625","1565.0147705078125","1565.0147705078125","1565.0147705078125"
"41000","688.8900146484375","688.8900146484375","688.8900146484375","546.587158203125","546.587158203125","546.587158203125","914.3355712890625","914.3355712890625","914.3355712890625","780.4996337890625","780.4996337890625","780.4996337890625","1168.130126953125","1168.130126953125","1168.130126953125","1012.6361083984375","1012.6361083984375","1012.6361083984375","2254.79541015625","2254.79541015625","2254.79541015625","1580.775390625","1580.775390625","1580.775390625"
"42000","684.3076782226562","684.3076782226562","684.3076782226562","540.7588500976562","540.7588500976562","540.7588500976562","907.3312377929688","907.3312377929688","907.3312377929688","777.6506958007812","777.6506958007812","777.6506958007812","1160.676513671875","1160.676513671875","1160.676513671875","1004.9130859375","1004.9130859375","1004.9130859375","2241.892578125","2241.892578125","2241.892578125","1572.878662109375","1572.878662109375","1572.878662109375"
"43000","684.5555419921875","684.5555419921875","684.5555419921875","542.787353515625","542.787353515625","542.787353515625","909.0202026367188","909.0202026367188","909.0202026367188","776.9041748046875","776.9041748046875","776.9041748046875","1163.4892578125","1163.4892578125","1163.4892578125","1008.009033203125","1008.009033203125","1008.009033203125","2247.216064453125","2247.216064453125","2247.216064453125","1577.655029296875","1577.655029296875","1577.655029296875"
"44000","683.9503173828125","683.9503173828125","683.9503173828125","540.9354248046875","540.9354248046875","540.9354248046875","905.4381103515625","905.4381103515625","905.4381103515625","776.7447509765625","776.7447509765625","776.7447509765625","1161.7652587890625","1161.7652587890625","1161.7652587890625","1004.8939208984375","1004.8939208984375","1004.8939208984375","2234.533935546875","2234.533935546875","2234.533935546875","1574.61328125","1574.61328125","1574.61328125"
"45000","687.66845703125","687.66845703125","687.66845703125","545.4580688476562","545.4580688476562","545.4580688476562","912.7960205078125","912.7960205078125","912.7960205078125","781.5687255859375","781.5687255859375","781.5687255859375","1169.59521484375","1169.59521484375","1169.59521484375","1013.1792602539062","1013.1792602539062","1013.1792602539062","2255.645751953125","2255.645751953125","2255.645751953125","1584.19580078125","1584.19580078125","1584.19580078125"
"46000","690.9644165039062","690.9644165039062","690.9644165039062","547.7513427734375","547.7513427734375","547.7513427734375","917.6187744140625","917.6187744140625","917.6187744140625","785.5450439453125","785.5450439453125","785.5450439453125","1173.8087158203125","1173.8087158203125","1173.8087158203125","1018.3341064453125","1018.3341064453125","1018.3341064453125","2269.80126953125","2269.80126953125","2269.80126953125","1594.306396484375","1594.306396484375","1594.306396484375"
"47000","688.0021362304688","688.0021362304688","688.0021362304688","544.2685546875","544.2685546875","544.2685546875","913.0250244140625","913.0250244140625","913.0250244140625","782.05908203125","782.05908203125","782.05908203125","1169.068603515625","1169.068603515625","1169.068603515625","1012.8046875","1012.8046875","1012.8046875","2256.173828125","2256.173828125","2256.173828125","1585.582275390625","1585.582275390625","1585.582275390625"
