,l0,mse_loss,frac_recovered,delta_ce
5,15.46533203125,5551.58984375,0.900568962097168,1.4248356819152832
3,15.949462890625,3971.114501953125,0.9313362836837769,0.9839439392089844
9,16.97021484375,3336.4921875,0.9437114000320436,0.8066086769104004
11,21.419921875,2474.707763671875,0.9623249769210817,0.5398788452148438
13,31.735595703125,1932.8282470703125,0.974922776222229,0.35935378074645996
12,44.6102294921875,1713.539306640625,0.979756772518158,0.28409790992736816
15,53.3970947265625,1546.72998046875,0.9833840727806092,0.23810505867004395
14,75.8472900390625,1370.767333984375,0.9866704344749452,0.18707013130187988
17,101.04296875,1230.6522216796875,0.9891743063926696,0.15513181686401367
16,150.755615234375,1069.6497802734375,0.9915485978126526,0.11860823631286666
1,213.8397216796875,946.8670654296876,0.9934131503105164,0.09438896179199219